Fecha,Casos activos COVID-19,Casos acumulados COVID-19,Nuevos casos diarios COVID-19,Personas recuperadas,Casos detectados COVID-19,Casos detectados acumulados,Personas hospitalizadas por COVID-19,Ingresados en UCI,Número total de fallecidos
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,2.0,2.0,2.0,0.0,0.19,0.19,0.06998104679982506,0.013996209359965012,0.02564102564102564
2020-02-19,7.0,7.0,5.0,0.0,0.665,0.665,0.2449336637993877,0.04898673275987754,0.08974358974358974
2020-02-20,11.0,11.0,4.0,0.0,1.045,1.045,0.38489575739903775,0.07697915147980755,0.14102564102564102
2020-02-21,13.0,13.0,2.0,0.0,1.235,1.235,0.4548768041988629,0.09097536083977259,0.16666666666666666
2020-02-22,20.0,20.0,7.0,0.0,1.9,1.9,0.6998104679982504,0.1399620935996501,0.2564102564102564
2020-02-23,23.0,23.0,3.0,0.0,2.185,2.185,0.8047820381979882,0.16095640763959765,0.2948717948717949
2020-02-24,27.0,27.0,4.0,0.0,2.565,2.565,0.9447441317976382,0.18894882635952764,0.34615384615384615
2020-02-25,37.0,37.0,10.0,0.0,3.515,3.515,1.2946493657967635,0.25892987315935273,0.47435897435897434
2020-02-26,52.0,52.0,15.0,0.0,4.94,4.94,1.8195072167954516,0.36390144335909036,0.6666666666666666
2020-02-27,64.0,64.0,12.0,0.0,6.08,6.08,2.239393497594402,0.4478786995188804,0.8205128205128205
2020-02-28,79.0,79.0,15.0,0.0,7.505,7.505,2.7642513485930893,0.5528502697186178,1.0128205128205128
2020-02-29,103.0,103.0,24.0,0.0,9.785,9.785,3.6040239101909903,0.7208047820381981,1.3205128205128205
2020-03-01,142.0,142.0,39.0,0.0,13.49,13.49,4.968654322787579,0.9937308645575158,1.8205128205128205
2020-03-02,212.0,212.0,70.0,0.0,20.14,20.14,7.417990960781456,1.4835981921562913,2.717948717948718
2020-03-03,337.0,338.0,126.0,1.0,32.015,32.11,11.791806385770522,2.3583612771541045,4.333333333333333
2020-03-04,528.0,530.0,192.0,2.0,50.160000000000004,50.35,18.474996355153817,3.6949992710307633,6.794871794871795
2020-03-05,769.0,771.0,241.0,2.0,73.055,73.245,26.907712494532735,5.381542498906548,9.884615384615385
2020-03-06,1182.0,1184.0,413.0,2.0,112.29,112.48,41.35879865869661,8.271759731739321,15.179487179487179
2020-03-07,1828.0,1834.0,650.0,6.0,173.66,174.23,63.962676775040094,12.79253535500802,23.512820512820515
2020-03-08,2695.0,2705.0,871.0,10.0,256.025,256.975,94.29946056276424,18.85989211255285,34.67948717948718
2020-03-09,4000.0,4013.0,1308.0,13.0,380.0,381.235,139.9620935996501,27.992418719930022,51.44871794871795
2020-03-10,5823.0,5839.0,1826.0,16.0,553.1850000000001,554.705,203.74981775769064,40.74996355153813,74.85897435897436
2020-03-11,8539.0,8559.0,2720.0,20.0,811.205,813.105,298.7840793118531,59.756815862370615,109.73076923076923
2020-03-12,12735.0,12762.0,4203.0,27.0,1209.825,1212.39,445.60431549788603,89.1208630995772,163.6153846153846
2020-03-13,18951.0,18988.0,6226.0,37.0,1800.345,1803.8600000000001,663.1054089517423,132.62108179034848,243.43589743589743
2020-03-14,28114.0,28174.0,9186.0,60.0,2670.83,2676.53,983.7235748651407,196.74471497302815,361.20512820512823
2020-03-15,30572.0,30673.0,2499.0,101.0,2904.34,2913.935,1069.7302813821257,213.94605627642514,393.2435897435897
2020-03-16,33246.0,33398.0,2725.0,152.0,3158.37,3172.81,1163.294940953492,232.6589881906984,428.1794871794872
2020-03-17,35916.0,36109.0,2711.0,192.0,3412.02,3430.355,1256.719638431258,251.34392768625162,462.93589743589746
2020-03-18,38714.0,39009.0,2900.0,293.0,3677.83,3705.855,1354.6231229042135,270.9246245808427,500.11538461538464
2020-03-19,41436.0,41878.0,2869.0,440.0,3936.42,3978.41,1449.8673275987755,289.9734655197551,536.8974358974359
2020-03-20,44075.0,44723.0,2845.0,645.0,4187.125,4248.685,1542.2073188511445,308.4414637702289,573.3717948717949
2020-03-21,46612.0,47496.0,2773.0,877.0,4428.14,4512.12,1630.9782767167228,326.1956553433446,608.9230769230769
2020-03-22,48967.0,50243.0,2747.0,1266.0,4651.865,4773.085,1713.3809593235164,342.6761918647033,644.1410256410256
2020-03-23,51215.0,52938.0,2695.0,1709.0,4865.425,5029.11,1792.03965592652,358.40793118530405,678.6923076923077
2020-03-24,53315.0,55626.0,2688.0,2293.0,5064.925,5284.47,1865.5197550663365,373.1039510132673,713.1538461538462
2020-03-25,55186.0,58194.0,2568.0,2983.0,5242.67,5528.43,1930.9870243475727,386.19740486951457,746.0769230769231
2020-03-26,56875.0,60690.0,2496.0,3785.0,5403.125,5765.55,1990.086018370025,398.01720367400503,778.0769230769231
2020-03-27,58447.0,63228.0,2538.0,4746.0,5552.465,6006.66,2045.0911211546872,409.01822423093745,810.6153846153846
2020-03-28,59838.0,65669.0,2441.0,5791.0,5684.61,6238.555,2093.7629392039657,418.7525878407932,841.9102564102565
2020-03-29,60464.0,67522.0,1853.0,7016.0,5744.08,6414.59,2115.6670068523113,423.13340137046225,865.6666666666666
2020-03-30,60891.0,69294.0,1772.0,8353.0,5784.645,6582.93,2130.6079603440735,426.1215920688147,888.3846153846154
2020-03-31,61116.0,71030.0,1736.0,9854.0,5806.02,6747.85,2138.480828109054,427.69616562181085,910.6410256410256
2020-04-01,61065.0,72647.0,1617.0,11515.0,5801.175,6901.465,2136.6963114156583,427.3392622831317,931.3717948717949
2020-04-02,60781.0,74128.0,1481.0,13271.0,5774.195,7042.16,2126.759002770083,425.3518005540166,950.3589743589744
2020-04-03,60211.0,75520.0,1392.0,15225.0,5720.045,7174.4,2106.8144044321334,421.3628808864267,968.2051282051282
2020-04-04,59523.0,76907.0,1387.0,17291.0,5654.685,7306.165,2082.7409243329935,416.5481848665987,985.9871794871794
2020-04-05,58749.0,78187.0,1280.0,19335.0,5581.155,7427.765,2055.658259221461,411.1316518442922,1002.3974358974359
2020-04-06,57934.0,79480.0,1293.0,21428.0,5503.7300000000005,7550.6,2027.1409826505324,405.4281965301065,1018.974358974359
2020-04-07,56827.0,80621.0,1141.0,23663.0,5398.5650000000005,7658.995,1988.4064732468291,397.68129464936584,1033.6025641025642
2020-04-08,55660.0,81771.0,1150.0,25972.0,5363.90119047619,7880.1933928571425,1865.7427196849576,373.14854393699153,1048.3461538461538
2020-04-09,54321.0,82806.0,1035.0,28337.0,5309.231071428571,8093.300714285714,1745.4097508690209,349.0819501738042,1061.6153846153845
2020-04-10,53001.0,83827.0,1021.0,30672.0,5252.777678571429,8307.854464285714,1633.3920976052757,326.67841952105516,1074.7051282051282
2020-04-11,51581.0,84806.0,979.0,33061.0,5182.662380952381,8520.983809523808,1525.5327327824746,305.10654655649495,1087.2564102564102
2020-04-12,49915.0,85732.0,926.0,35648.0,5083.605059523809,8731.395952380952,1417.5231059542455,283.5046211908491,1099.128205128205
2020-04-13,48461.0,86593.0,861.0,37956.0,5001.867499999999,8937.634642857141,1322.1909861759489,264.43819723518976,1110.1666666666667
2020-04-14,47157.0,87613.0,1020.0,40272.0,4931.836249999999,9162.859583333333,1236.7444897952994,247.34889795905988,1123.2435897435898
2020-04-15,45816.0,88605.0,992.0,42599.0,4854.314285714285,9387.910714285714,1155.5966204471408,231.11932408942818,1135.9615384615386
2020-04-16,44420.0,89573.0,968.0,44953.0,4767.217857142857,9613.10232142857,1078.0538972956106,215.6107794591221,1148.371794871795
2020-04-17,43063.0,90544.0,971.0,47268.0,4680.537976190475,9841.270476190475,1006.1229653279249,201.224593065585,1160.820512820513
2020-04-18,41681.0,91476.0,932.0,49570.0,4587.391011904761,10067.804999999998,937.9431074913418,187.58862149826837,1172.7692307692307
2020-04-19,40441.0,92430.0,954.0,51755.0,4506.282857142856,10299.342857142856,876.9068300207359,175.3813660041472,1185.0
2020-04-20,39199.0,93367.0,937.0,53926.0,4421.553869047618,10531.575297619045,819.4009156461403,163.88018312922807,1197.0128205128206
2020-04-21,37941.0,94238.0,871.0,56049.0,4331.597499999999,10758.838333333331,764.9130399443411,152.98260798886824,1208.179487179487
2020-04-22,36648.0,95063.0,825.0,58160.0,4234.152857142856,10983.171607142855,712.8904099967535,142.5780819993507,1218.7564102564102
2020-04-23,35505.0,95926.0,863.0,60158.0,4150.70357142857,11214.206190476187,666.6749952993047,133.33499905986093,1229.820512820513
2020-04-24,34468.0,96819.0,893.0,62082.0,4076.6616666666655,11451.151964285711,624.987861892705,124.99757237854101,1241.2692307692307
2020-04-25,33439.0,97660.0,841.0,63944.0,4000.737499999999,11684.321428571426,585.7525783424163,117.15051566848327,1252.051282051282
2020-04-26,32448.0,98447.0,787.0,65716.0,3926.5942857142845,11913.258988095235,549.3193497569343,109.86386995138687,1262.1410256410256
2020-04-27,31405.0,99179.0,732.0,67487.0,3843.373809523808,12137.620476190472,514.0182830893211,102.80365661786423,1271.525641025641
2020-04-28,30433.0,99916.0,737.0,69190.0,3766.083749999999,12364.604999999996,481.75962254933836,96.35192450986767,1280.974358974359
2020-04-29,29672.0,100713.0,797.0,70742.0,3712.5323809523798,12601.11464285714,454.4622194912684,90.89244389825369,1291.1923076923076
2020-04-30,28921.0,101485.0,772.0,72258.0,3658.1622023809505,12836.64434523809,428.73170611559595,85.7463412231192,1301.0897435897436
2020-05-01,28082.0,102172.0,687.0,73778.0,3590.4842857142844,13063.419999999995,403.0642722252343,80.61285444504686,1309.8974358974358
2020-05-02,27357.0,102891.0,719.0,75217.0,3535.2408928571417,13296.21196428571,380.3103107970985,76.06206215941971,1319.1153846153845
2020-05-03,26653.0,103664.0,773.0,76686.0,3480.7548809523796,13538.024761904757,358.99246197413584,71.79849239482716,1329.025641025641
2020-05-04,25953.0,104331.0,667.0,78049.0,3424.8691071428552,13767.965892857135,338.79702436437367,67.75940487287474,1337.576923076923
2020-05-05,25361.0,105083.0,752.0,79390.0,3381.4666666666667,14011.066666666666,320.97515625,64.19503125,1347.2179487179487
2020-05-06,24826.0,105835.0,752.0,80671.0,3310.133333333333,14111.333333333334,314.2040625,62.840812500000006,1356.8589743589744
2020-05-07,24319.0,106537.0,702.0,81872.0,3242.5333333333333,14204.933333333332,307.78734375,61.55746875,1365.8589743589744
2020-05-08,23795.0,107185.0,648.0,83033.0,3172.6666666666665,14291.333333333334,301.15546875,60.23109375000001,1374.1666666666667
2020-05-09,23328.0,107871.0,686.0,84181.0,3110.4,14382.8,295.245,59.04900000000001,1382.9615384615386
2020-05-10,22894.0,108558.0,687.0,85297.0,3052.5333333333333,14474.4,289.7521875,57.9504375,1391.7692307692307
2020-05-11,22385.0,109170.0,612.0,86417.0,2984.6666666666665,14556.0,283.31015625,56.66203125,1399.6153846153845
2020-05-12,21939.0,109842.0,672.0,87530.0,2925.2,14645.6,277.66546875,55.533093750000006,1408.2307692307693
2020-05-13,21416.0,110464.0,622.0,88666.0,2855.4666666666667,14728.533333333333,271.04625,54.20925,1416.2051282051282
2020-05-14,20969.0,111031.0,567.0,89675.0,2795.866666666667,14804.133333333333,265.38890625,53.07778125,1423.474358974359
2020-05-15,20625.0,111651.0,620.0,90636.0,2750.0,14886.8,261.03515625,52.20703125,1431.423076923077
2020-05-16,20336.0,112308.0,657.0,91579.0,2711.4666666666667,14974.4,257.3775,51.475500000000004,1439.8461538461538
2020-05-17,20058.0,112961.0,653.0,92507.0,2674.4,15061.466666666667,253.85906250000002,50.77181250000001,1448.2179487179487
2020-05-18,19758.0,113532.0,571.0,93378.0,2634.4,15137.6,250.06218750000002,50.012437500000004,1455.5384615384614
2020-05-19,19433.0,114106.0,574.0,94273.0,2591.0666666666666,15214.133333333333,245.94890625,49.18978125,1462.8974358974358
2020-05-20,19182.0,114740.0,634.0,95155.0,2557.6,15298.666666666666,242.7721875,48.554437500000006,1471.025641025641
2020-05-21,18945.0,115363.0,623.0,96012.0,2526.0,15381.733333333334,239.77265625,47.95453125,1479.0128205128206
2020-05-22,18741.0,115992.0,629.0,96842.0,2498.8,15465.6,237.19078125000001,47.438156250000006,1487.076923076923
